,next_day_mood
0,6.333333333333333
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,6.2
19,6.4
20,6.8
21,6.0
22,6.75
23,6.6
24,7.0
25,6.4
26,8.0
27,7.5
28,7.4
29,6.0
30,6.5
31,6.4
32,6.2
33,6.8
34,6.5
35,6.5
36,6.6
37,7.4
38,7.4
39,7.0
40,7.25
41,8.0
42,7.2
43,6.4
44,7.2
45,6.6
46,6.8
47,7.8
48,7.25
49,7.6
50,7.4
51,7.6
52,7.6
53,7.2
54,7.6
55,7.5
56,7.6
57,7.0
58,7.8
59,8.0
60,7.6
61,8.0
62,8.0
63,0.0
64,0.0
65,6.75
66,8.2
67,6.8
68,7.25
69,7.5
70,6.5
71,6.25
72,6.4
73,7.75
74,7.2
75,7.25
76,6.8
77,7.25
78,7.0
79,7.2
80,7.4
81,6.4
82,5.75
83,6.4
84,7.4
85,4.5
86,6.8
87,6.25
88,7.25
89,7.25
90,6.5
91,6.0
92,7.2
93,8.0
94,7.25
95,6.666666666666667
96,6.5
97,6.5
98,5.666666666666667
99,5.0
100,5.5
101,5.666666666666667
102,5.5
103,7.0
104,9.0
105,0.0
106,7.8
107,8.2
108,7.8
109,7.8
110,8.25
111,7.75
112,8.0
113,8.6
114,8.4
115,7.4
116,7.6
117,7.4
118,7.8
119,7.8
120,7.6
121,6.8
122,7.4
123,7.4
124,7.8
125,7.4
126,7.6
127,7.666666666666667
128,7.4
129,7.0
130,7.6
131,8.0
132,7.25
133,7.5
134,7.8
135,7.5
136,7.4
137,7.6
138,7.0
139,7.4
140,7.5
141,7.5
142,7.6
143,7.0
144,7.2
145,7.0
146,7.2
147,7.6
148,7.75
149,7.4
150,7.25
151,0.0
152,7.666666666666667
153,0.0
154,0.0
155,6.2
156,6.333333333333333
157,6.0
158,7.5
159,6.75
160,7.2
161,7.25
162,3.75
163,4.4
164,3.75
165,5.333333333333333
166,5.5
167,5.8
168,6.2
169,6.4
170,6.2
171,6.8
172,7.0
173,7.0
174,7.2
175,7.0
176,7.5
177,6.8
178,6.75
179,6.75
180,7.0
181,7.2
182,7.0
183,7.0
184,7.5
185,6.4
186,7.0
187,7.2
188,6.6
189,7.5
190,7.2
191,7.2
192,7.2
193,7.2
194,7.2
195,7.2
196,7.2
197,7.8
198,7.4
199,7.0
200,6.8
201,7.0
202,6.8
203,7.0
204,6.75
205,7.0
206,6.333333333333333
207,0.0
208,7.0
