
STN,YYYYMMDD,TX,SQ,SP,RH,NG
  240,20140117,   88,    0,    0,   13,    7
  240,20140118,   84,   25,   30,    0,    6
  240,20140119,   67,    7,    8,    1,    8
  240,20140120,   60,    0,    0,    5,    8
  240,20140121,   51,    0,    0,    5,    8
  240,20140122,   38,   36,   42,   14,    8
  240,20140123,   57,    3,    4,  124,    8
  240,20140124,   69,    9,   10,   31,    8
  240,20140125,   67,    1,    1,   65,    8
  240,20140126,   68,   15,   17,  101,    7
  240,20140127,   64,   18,   21,   23,    7
  240,20140128,   64,    2,    2,    1,    7
  240,20140129,   32,   44,   50,    0,    2
  240,20140130,   30,   14,   16,   -1,    6
  240,20140131,   63,   70,   78,    6,    5
  240,20140201,   82,   18,   20,   65,    5
  240,20140202,   76,   56,   61,    0,    3
  240,20140203,   82,   81,   88,    0,    1
  240,20140204,   91,   46,   50,   -1,    5
  240,20140205,   97,   43,   46,   28,    6
  240,20140206,   93,   34,   36,   69,    6
  240,20140207,  100,    0,    0,  123,    7
  240,20140208,   91,    9,   10,   51,    7
  240,20140209,   74,    2,    2,    9,    6
  240,20140210,   87,    7,    7,    7,    7
  240,20140211,   78,   33,   34,   27,    6
  240,20140212,   88,   50,   51,   35,    6
  240,20140213,   73,    5,    5,   24,    5
  240,20140214,   85,   15,   15,   58,    6
  240,20140215,  122,   39,   39,   15,    7
  240,20140216,   91,   70,   70,    0,    3
  240,20140217,  106,   38,   38,    0,    6
  240,20140218,   87,    2,    2,    3,    8
  240,20140219,  100,   16,   16,    1,    8
  240,20140220,  101,    0,    0,   42,    7
  240,20140221,   95,   55,   53,   21,    5
  240,20140222,  103,   57,   55,   17,    4
  240,20140223,  119,   63,   60,    0,    3
  240,20140224,  125,   90,   86,    0,    2
  240,20140225,  121,   13,   12,   27,    5
  240,20140226,  110,   65,   61,    0,    2
  240,20140227,   71,   15,   14,   29,    6
  240,20140228,   84,   22,   20,   13,    6
  240,20140301,   83,   12,   11,   27,    8
  240,20140302,  100,   91,   83,    4,    5
  240,20140303,   93,   17,   15,    8,    5
  240,20140304,  106,   55,   50,    0,    7
  240,20140305,  121,   82,   74,    0,    3
  240,20140306,  127,   32,   29,    0,    6
  240,20140307,  123,   25,   22,   -1,    3
  240,20140308,  158,   94,   83,    0,    1
  240,20140309,  181,  103,   91,    0,    0
  240,20140310,  174,  102,   89,    0,    3
  240,20140311,  131,   58,   50,    0,    4
  240,20140312,  150,  103,   89,    0,    0
  240,20140313,  161,  107,   92,    0,    0
  240,20140314,  103,   47,   40,    0,    4
  240,20140315,  114,   39,   33,    0,    7
  240,20140316,  127,   70,   59,    0,    6
  240,20140317,  118,    0,    0,    0,    8
  240,20140318,  110,    5,    4,   21,    7
  240,20140319,  135,   62,   51,   -1,    4
  240,20140320,  200,  113,   93,    0,    2
  240,20140321,  118,   45,   37,  211,    5
  240,20140322,  106,   34,   28,    1,    4
  240,20140323,   97,   64,   52,   39,    4
  240,20140324,   99,  103,   83,   16,    2
  240,20140325,  108,   90,   72,    0,    1
  240,20140326,   88,   44,   35,    2,    4
  240,20140327,  138,   84,   67,    1,    4
  240,20140328,  168,  115,   91,    0,    2
  240,20140329,  189,  104,   82,    0,    1
  240,20140330,  199,   59,   46,    0,    4
  240,20140331,  201,   74,   57,    0,    5
  240,20140401,  189,   82,   63,    0,    2
  240,20140402,  190,   69,   53,    0,    3
  240,20140403,  214,   81,   62,    0,    4
  240,20140404,  140,    0,    0,    0,    8
  240,20140405,  170,   72,   55,    0,    4
  240,20140406,  161,    0,    0,    6,    7
  240,20140407,  206,   30,   22,  148,    7
  240,20140408,  132,   62,   46,   69,    5
  240,20140409,  137,  110,   82,    0,    4
  240,20140410,  146,   15,   11,    0,    8
  240,20140411,  155,   59,   43,    0,    5
  240,20140412,  150,   67,   49,    0,    4
  240,20140413,  134,   97,   71,   -1,    6
  240,20140414,  116,   71,   51,    8,    5
  240,20140415,  111,   57,   41,   -1,    5
  240,20140416,  148,  130,   93,    0,    0
  240,20140417,  174,   61,   44,   16,    5
  240,20140418,  118,   45,   32,    9,    6
  240,20140419,  154,  101,   71,    3,    3
  240,20140420,  212,   94,   66,    0,    3
  240,20140421,  154,   33,   23,    5,    6
  240,20140422,  175,   84,   59,    0,    5
