id,date,month,day_of_week,mood,call,sms,screen,circumplex.arousal,activity,circumplex.valence,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.01,2014-02-17,2,1,,2.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-18,2,2,,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-19,2,3,,7.0,2.0,,,,,,,,,,,,,,,,
AS14.01,2014-02-20,2,4,,2.0,3.0,,,,,,,,,,,,,,,,
AS14.01,2014-02-21,2,5,,,1.0,,,,,,,,,,,,,,,,
AS14.01,2014-02-22,2,6,,2.0,1.0,,,,,,,,,,,,,,,,
AS14.01,2014-02-25,2,2,,3.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-26,2,3,25.0,1.0,2.0,,-1.0,,3.0,,,,,,,,,,,,
AS14.01,2014-02-27,2,4,19.0,,,,0.0,,1.0,,,,,,,,,,,,
AS14.01,2014-02-28,2,5,,4.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-01,3,6,,,1.0,,,,,,,,,,,,,,,,
AS14.01,2014-03-03,3,1,,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-05,3,3,,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-06,3,4,,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-07,3,5,,5.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-10,3,1,,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-11,3,2,,3.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-12,3,3,,7.0,1.0,,,,,,,,,,,,,,,,
AS14.01,2014-03-13,3,4,,4.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-14,3,5,,3.0,1.0,,,,,,,,,,,,,,,,
AS14.01,2014-03-15,3,6,,,1.0,,,,,,,,,,,,,,,,
AS14.01,2014-03-16,3,7,,,3.0,,,,,,,,,,,,,,,,
AS14.01,2014-03-17,3,1,,,1.0,,,,,,,,,,,,,,,,
AS14.01,2014-03-18,3,2,,1.0,2.0,,,,,,,,,,,,,,,,
AS14.01,2014-03-19,3,3,,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-20,3,4,,1.0,,2275.9440002441406,,0.1630952380952381,,248.979,2168.229,350.856,,,,11.345,807.731,,45.173,21.073999999999998,
AS14.01,2014-03-21,3,5,31.0,6.0,,17978.907000064843,1.0,3.0831523917559385,1.0,3139.218,6280.889999999999,1007.4560000000001,49.544,,172.20600000000002,239.751,4508.500000000001,915.4450000000002,,598.754,
AS14.01,2014-03-22,3,6,32.0,3.0,1.0,6142.160999536513,3.0,3.7900835078393302,2.0,731.4290000000002,4962.918,93.324,21.076,,,98.14300000000001,439.6319999999999,37.305,,117.62100000000001,
AS14.01,2014-03-23,3,7,34.0,,,6773.832001447676,1.0,2.141116737075955,4.0,1286.2459999999999,5237.319,94.346,43.403000000000006,,,72.82300000000001,900.8389999999999,,,30.086,30.386
AS14.01,2014-03-24,3,1,30.0,10.0,,15047.351000547405,4.0,1.895065346774351,0.0,866.9559999999999,9270.629,976.971,34.106,,3.01,66.55799999999999,3223.6259999999997,419.805,,178.732,
AS14.01,2014-03-25,3,2,27.0,,1.0,21475.35499906539,2.0,2.360978697372163,2.0,1032.768,10276.751,68.206,43.053999999999995,,,178.819,1919.471,,235.223,222.893,
AS14.01,2014-03-26,3,3,33.0,,,16423.80100035667,-1.0,2.431399720081822,3.0,1167.497,8988.752999999999,910.479,52.331,,,97.49799999999999,4592.059,,,33.365,
AS14.01,2014-03-27,3,4,35.0,2.0,1.0,17442.14999938011,1.0,3.5092341013201445,4.0,1229.327,6936.512,639.3389999999999,42.218999999999994,,182.45100000000002,58.532000000000004,935.381,47.314,,179.02899999999997,
AS14.01,2014-03-28,3,5,32.0,5.0,,4923.488999605181,-3.0,2.2967525192908833,3.0,10062.595,866.8330000000001,1005.403,89.16600000000001,233.036,,225.951,512.741,1133.0089999999998,,301.717,
AS14.01,2014-03-29,3,6,40.0,4.0,1.0,8322.6219997406,1.0,1.6368674424448715,5.0,1952.6299999999999,2720.692,1627.429,,,,169.594,472.88800000000003,52.435,,600.637,
